word_id,word,variants,ja,audio,audio_out
w_a,a,,（ひとつの）,a.mp3,済
w_able,able,,〜できる,able.mp3,済
w_about,about,,～について、だいたい,about.mp3,済
w_abroad,abroad,,海外で、海外に,abroad.mp3,済
w_accident,accident,,事故、偶然,accident.mp3,済
w_accidentally,accidentally,,うっかり、偶然に,accidentally.mp3,済
w_across,across,,〜を横切って、向こう側に,across.mp3,済
w_acting,acting,,act（行動する、演じる）のing形,acting.mp3,済
w_acts,acts,,act（行動する、演じる）の三単現,acts.mp3,済
w_actually,actually,,実は、実際に,actually.mp3,済
w_add,add,,加える、足す,add.mp3,済
w_adult,adult,,大人,adult.mp3,済
w_adults,adults,,adult（大人）の複数形,adults.mp3,済
w_advice,advice,,アドバイス、助言,advice.mp3,済
w_afraid,afraid,,怖がって、心配して,afraid.mp3,済
w_after,after,,～の後,after.mp3,済
w_afternoon,afternoon,,午後,afternoon.mp3,済
w_again,again,,再び,again.mp3,済
w_against,against,,～に対して,against.mp3,済
w_age,age,,年齢,age.mp3,済
w_ages,ages,,age（年齢）の複数形,ages.mp3,済
w_ago,ago,,（今から）〜前,ago.mp3,済
w_agree,agree,,賛成する、同意する,agree.mp3,済
w_ahead,ahead,,前に、先に,ahead.mp3,済
w_alarm,alarm,,目覚まし、アラーム,alarm.mp3,済
w_all,all,,全部,all.mp3,済
w_allowance,allowance,,おこづかい,allowance.mp3,済
w_allowed,allowed,,allow（許す）の過去形,allowed.mp3,済
w_almost,almost,,ほとんど、もう少しで,almost.mp3,済
w_alone,alone,,一人で,alone.mp3,済
w_already,already,,すでに、もう,already.mp3,済
w_always,always,,いつも,always.mp3,済
w_am,am,,〜です、〜である（be動詞）,am.mp3,済
w_amaze,amaze,,驚かせる（amazingはすごい・驚くべき）,amaze.mp3,済
w_amazing,amazing,,amaze（驚かせる）のing形,amazing.mp3,済
w_among,among,,〜の間で（3つ以上）,among.mp3,済
w_an,an,,1つの（aの変形）,an.mp3,済
w_and,and,,〜と、そして,and.mp3,済
w_angel,angel,,天使,angel.mp3,済
w_angry,angry,,怒った,angry.mp3,済
w_animal,animal,,動物,animal.mp3,済
w_animals,animals,,animal（動物）の複数形,animals.mp3,済
w_another,another,,もう一つの、別の,another.mp3,済
w_answer,answer,,答え、答える,answer.mp3,済
w_answered,answered,,answer（答え、答える）の過去形,answered.mp3,済
w_any,any,,いくつかの、何か,any.mp3,済
w_anymore,anymore,,もう（〜ない）,anymore.mp3,済
w_anyone,anyone,,誰か、誰でも,anyone.mp3,済
w_anything,anything,,何か、何も,anything.mp3,済
w_anytime,anytime,,いつでも,anytime.mp3,済
w_anywhere,anywhere,,どこでも、どこかに,anywhere.mp3,済
w_apologize,apologize,,謝る,apologize.mp3,済
w_app,app,,アプリ,app.mp3,済
w_apple,apple,,りんご,apple.mp3,済
w_apples,apples,,apple（りんご）の複数形,apples.mp3,済
w_aquarium,aquarium,,水族館,aquarium.mp3,済
w_are,are,,〜です、〜である（be動詞）,are.mp3,済
w_aren_t,aren't,,〜ではない（are not）,aren't.mp3,済
w_arm,arm,,腕,arm.mp3,済
w_around,around,,〜のまわりに、約,around.mp3,済
w_arrive,arrive,,到着する,arrive.mp3,済
w_arrived,arrived,,arrive（到着する）の過去形,arrived.mp3,済
w_arrives,arrives,,arrive（到着する）の三単現,arrives.mp3,済
w_art,art,,美術、芸術,art.mp3,済
w_as,as,,〜として、〜のように,as.mp3,済
w_asap,asap,,できるだけ早く（as soon as possibleの略）,asap.mp3,済
w_ask,ask,,訪ねる、お願いする,ask.mp3,済
w_asked,asked,,ask（訪ねる、お願いする）の過去形,asked.mp3,済
w_asleep,asleep,,眠って,asleep.mp3,済
w_at,at,,〜で、〜に（場所・時）,at.mp3,済
w_ate,ate,,eat（食べる）の過去形,ate.mp3,済
w_attend,attend,,出席する、参加する,attend.mp3,済
w_attending,attending,,attend（出席する、参加する）のing形,attending.mp3,済
w_attention,attention,,注意、注目,attention.mp3,済
w_aunt,aunt,,おば、おばさん,aunt.mp3,済
w_avoid,avoid,,避ける,avoid.mp3,済
w_away,away,,離れて、向こうへ,away.mp3,済
w_awesome,awesome,,すげぇ！,awesome.mp3,済
w_baby,baby,,赤ちゃん,baby.mp3,済
w_back,back,,戻って、後ろ、背中,back.mp3,済
w_backpack,backpack,,リュックサック,backpack.mp3,済
w_backward,backward,,後ろ向きに、逆に,backward.mp3,済
w_bad,bad,,悪い,bad.mp3,済
w_bag,bag,,バッグ,bag.mp3,済
w_bags,bags,,bag（バッグ）の複数形,bags.mp3,済
w_bake,bake,,(オーブンで)焼く,bake.mp3,済
w_ball,ball,,ボール,ball.mp3,済
w_banana,banana,,バナナ,banana.mp3,済
w_bananas,bananas,,banana（バナナ）の複数形,bananas.mp3,済
w_bar,bar,,バー,bar.mp3,済
w_barber,barber,,床屋、理髪師,barber.mp3,済
w_barely,barely,,かろうじて、ほとんど〜ない,barely.mp3,済
w_bark,bark,,吠える,bark.mp3,済
w_barked,barked,,bark（吠える）の過去形,barked.mp3,済
w_barking,barking,,bark（吠える）のing形,barking.mp3,済
w_basic,basic,,基本的な,basic.mp3,済
w_basketball,basketball,,バスケ,basketball.mp3,済
w_bath,bath,,風呂,bath.mp3,済
w_bathroom,bathroom,,トイレ,bathroom.mp3,済
w_battery,battery,,電池、バッテリー,battery.mp3,済
w_be,be,,〜である、〜になる,be.mp3,済
w_beach,beach,,ビーチ、浜辺,beach.mp3,済
w_bear,bear,,クマ、がまんする,bear.mp3,済
w_beat,beat,,打つ、鼓動する、負かす,beat.mp3,済
w_beautiful,beautiful,,美しい,beautiful.mp3,済
w_became,became,,〜になった,became.mp3,済
w_because,because,,なぜなら、〜だから,because.mp3,済
w_become,become,,〜になる,become.mp3,済
w_becoming,becoming,,become（〜になる）のing形,becoming.mp3,済
w_bed,bed,,ベッド,bed.mp3,済
w_beds,beds,,bed（ベッド）の複数形,beds.mp3,済
w_been,been,,be動詞（である、いる）の過去分詞,been.mp3,済
w_before,before,,～の前に,before.mp3,済
w_begin,begin,,始まる、始める,begin.mp3,済
w_beginner,beginner,,初心者,beginner.mp3,済
w_beginners,beginners,,初心者,beginners.mp3,済
w_begins,begins,,begin（始まる、始める）の三単現,begins.mp3,済
w_behind,behind,,〜の後ろに,behind.mp3,済
w_being,being,,be動詞（である、いる）のing形,being.mp3,済
w_bell,bell,,ベル、鈴,bell.mp3,済
w_bento,bento,,弁当,bento.mp3,済
w_best,best,,一番、最も,best.mp3,済
w_better,better,,より良い、もっと（good/wellの比較級）,better.mp3,済
w_between,between,,〜の間に（2つ）,between.mp3,済
w_big,big,,大きい,big.mp3,済
w_bigger,bigger,,big（大きい）の比較級,bigger.mp3,済
w_biggest,biggest,,big（大きい）の最上級,biggest.mp3,済
w_bike,bike,,自転車,bike.mp3,済
w_bill,bill,,請求書、勘定,bill.mp3,済
w_billion,billion,,十億,billion.mp3,済
w_bird,bird,,鳥,bird.mp3,済
w_birds,birds,,bird（鳥）の複数形,birds.mp3,済
w_birthday,birthday,,誕生日,birthday.mp3,済
w_bit,bit,,少し（a bit で「少し」）,bit.mp3,済
w_black,black,,黒,black.mp3,済
w_blankets,blankets,,blanket（毛布）の複数形,blankets.mp3,済
w_blue,blue,,青,blue.mp3,済
w_board,board,,板、ボード、黒板,board.mp3,済
w_body,body,,体,body.mp3,済
w_book,book,,本,book.mp3,済
w_books,books,,book（本）の複数形,books.mp3,済
w_boring,boring,,退屈な,boring.mp3,済
w_born,born,,生まれた（be bornで生まれる）,born.mp3,済
w_borrow,borrow,,借りる,borrow.mp3,済
w_borrowed,borrowed,,borrow（借りる）の過去形,borrowed.mp3,済
w_boss,boss,,ボス,boss.mp3,済
w_both,both,,両方,both.mp3,済
w_bottle,bottle,,ボトル,bottle.mp3,済
w_bought,bought,,buy（買う）の過去形,bought.mp3,済
w_box,box,,箱,box.mp3,済
w_boxes,boxes,,箱,boxes.mp3,済
w_boy,boy,,男の子,boy.mp3,済
w_bracelet,bracelet,,ブレスレット,bracelet.mp3,済
w_brave,brave,,勇敢な,brave.mp3,済
w_break,break,,壊す、休憩,break.mp3,済
w_breakfast,breakfast,,朝食,breakfast.mp3,済
w_bring,bring,,持ってくる,bring.mp3,済
w_broccoli,broccoli,,ブロッコリー,broccoli.mp3,済
w_broke,broke,,break（壊す）の過去形,broke.mp3,済
w_broken,broken,,壊れた、壊された,broken.mp3,済
w_brother,brother,,兄弟,brother.mp3,済
w_brother_s,brother's,,兄／弟の,brother's.mp3,済
w_brothers,brothers,,brother（兄弟）の複数形,brothers.mp3,済
w_brush,brush,,ブラシ,brush.mp3,済
w_building,building,,建物,building.mp3,済
w_built,built,,build（建てる）の過去形,built.mp3,済
w_burned,burned,,burn（燃える、焦げる）の過去形,burned.mp3,済
w_burning,burning,,burn（燃える、焦げる）のing形,burning.mp3,済
w_bus,bus,,バス,bus.mp3,済
w_busy,busy,,忙しい,busy.mp3,済
w_but,but,,でも,but.mp3,済
w_buy,buy,,買う,buy.mp3,済
w_by,by,,〜によって、〜のそばに,by.mp3,済
w_cake,cake,,ケーキ,cake.mp3,済
w_cakes,cakes,,cake（ケーキ）の複数形,cakes.mp3,済
w_call,call,,呼ぶ、電話する,call.mp3,済
w_called,called,,call（呼ぶ、電話する）の過去形,called.mp3,済
w_calling,calling,,call（呼ぶ、電話する）のing形,calling.mp3,済
w_calls,calls,,call（呼ぶ、電話する）の三単現,calls.mp3,済
w_came,came,,来た,came.mp3,済
w_camp,camp,,キャンプ,camp.mp3,済
w_camping,camping,,キャンプすること,camping.mp3,済
w_can,can,,〜できる,can.mp3,済
w_can_t,can't,,〜できない（cannot）,can't.mp3,済
w_cancel,cancel,,中止する,cancel.mp3,済
w_canceled,canceled,,cancel（中止する）の過去形,canceled.mp3,済
w_candy,candy,,キャンディー,candy.mp3,済
w_car,car,,車,car.mp3,済
w_care,care,,気にする、世話をする,care.mp3,済
w_careful,careful,,注意深い、気をつけて,careful.mp3,済
w_carry,carry,,運ぶ、持ち運ぶ,carry.mp3,済
w_cartoon,cartoon,,アニメ、漫画,cartoon.mp3,済
w_cartoons,cartoons,,cartoon（アニメ、漫画）の複数形,cartoons.mp3,済
w_castle,castle,,城,castle.mp3,済
w_cat,cat,,猫,cat.mp3,済
w_catch,catch,,つかまえる、捕る,catch.mp3,済
w_cats,cats,,cat（猫）の複数形,cats.mp3,済
w_centimeters,centimeters,,centimeter（センチメートル）の複数形,centimeters.mp3,済
w_chair,chair,,いす,chair.mp3,済
w_chairs,chairs,,chair（いす）の複数形,chairs.mp3,済
w_chance,chance,,チャンス、機会,chance.mp3,済
w_change,change,,変える、変わる、おつり,change.mp3,済
w_changed,changed,,change（変える、変わる、おつり）の過去形,changed.mp3,済
w_charger,charger,,充電器,charger.mp3,済
w_chase,chase,,追いかける,chase.mp3,済
w_chased,chased,,chase（追いかける）の過去形,chased.mp3,済
w_chattarbox,chattarbox,,おしゃべりマシーン,chattarbox.mp3,済
w_cheap,cheap,,安い,cheap.mp3,済
w_cheaper,cheaper,,cheap（安い）の比較級,cheaper.mp3,済
w_check,check,,確認する、チェック,check.mp3,済
w_cheered,cheered,,cheer（応援する、元気づける）の過去形,cheered.mp3,済
w_child,child,,子ども,child.mp3,済
w_children,children,,子供たち,children.mp3,済
w_chilly,chilly,,肌寒い,chilly.mp3,済
w_chinese,Chinese,,中国の、中国語,Chinese.mp3,済
w_chocolate,chocolate,,チョコ,chocolate.mp3,済
w_chocolates,chocolates,,chocolate（チョコ）の複数形,chocolates.mp3,済
w_chopsticks,chopsticks,,箸,chopsticks.mp3,済
w_chore,chore,,家事、雑用,chore.mp3,済
w_chosen,chosen,,choose（選ぶ）の過去分詞,chosen.mp3,済
w_cities,cities,,city（都市）の複数形,cities.mp3,済
w_city,city,,都市,city.mp3,済
w_class,class,,クラス、授業,class.mp3,済
w_classic,classic,,定番の、古典的な,classic.mp3,済
w_classical,classical,,クラシックの、古典的な,classical.mp3,済
w_classics,classics,,クラシック,classics.mp3,済
w_classmate,classmate,,クラスメート,classmate.mp3,済
w_classmates,classmates,,classmate（クラスメート）の複数形,classmates.mp3,済
w_classroom,classroom,,教室,classroom.mp3,済
w_classrooms,classrooms,,classroom（教室）の複数形,classrooms.mp3,済
w_clean,clean,,掃除する,clean.mp3,済
w_cleaned,cleaned,,clean（掃除する）の過去形,cleaned.mp3,済
w_cleaning,cleaning,,clean（掃除する）のing形,cleaning.mp3,済
w_cleans,cleans,,clean（掃除する）の三単現,cleans.mp3,済
w_clock,clock,,時計,clock.mp3,済
w_close,close,,閉める、近い,close.mp3,済
w_closer,closer,,close（閉める、近い）の比較級,closer.mp3,済
w_clothes,clothes,,服,clothes.mp3,済
w_cloud,cloud,,雲,cloud.mp3,済
w_clouds,clouds,,cloud（雲）の複数形,clouds.mp3,済
w_cloudy,cloudy,,cloud（雲）の形容詞形（曇りの）,cloudy.mp3,済
w_club,club,,クラブ、部活,club.mp3,済
w_coach,coach,,コーチ、指導する,coach.mp3,済
w_coaster,coaster,,コースター（roller coaster でジェットコースター）,coaster.mp3,済
w_coat,coat,,コート,coat.mp3,済
w_coffee,coffee,,コーヒー,coffee.mp3,済
w_coffees,coffees,,coffee（コーヒー）の複数形,coffees.mp3,済
w_coincidence,coincidence,,偶然（の一致）,coincidence.mp3,済
w_cold,cold,,寒い、冷たい,cold.mp3,済
w_collect,collect,,集める,collect.mp3,済
w_collecting,collecting,,collect（集める）のing形,collecting.mp3,済
w_color,color,,色,color.mp3,済
w_colors,colors,,color（色）の複数形,colors.mp3,済
w_come,come,,来る,come.mp3,済
